Pool_Numb,PlateRun,PlateRunDate,SH_Temp,SH_Tide,Bag,Site,Lease,Species,Year,Cohort,Sample_Date,Sampling_Period,Pool_Rep,Weight_mg,SampleSize,Copies_per_2ul,Copies_per_ul,CopiesX200,Copies_per_mgTissue,log_transform,OsHV1,Pos_Neg,,Notes
683,24,45089,21,No Tide,22,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,17.9,5,8767656.368,4383828.184,876765636.8,48981320.49,7.690030489,1,Pos,,
684,24,45089,21,No Tide,23,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,12.7,5,3301.183686,1650.591843,330118.3686,25993.57233,4.414865969,1,Pos,,
685,24,45089,21,No Tide,23,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,17.3,5,251.027693,125.5138465,25102.7693,1451.027127,3.161675532,1,Pos,,
686,24,45089,21,No Tide,23,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,17.3,5,781324.2002,390662.1001,78132420.02,4516324.856,6.654785173,1,Pos,,
687,24,45089,21,No Tide,23,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,18.9,5,328.2398987,164.1199493,32823.98987,1736.719041,3.239729566,1,Pos,,
688,24,45089,21,No Tide,24,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,18.7,5,180.3060103,90.15300514,18030.60103,964.2032635,2.984168597,1,Pos,,
689,24,45089,21,No Tide,24,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,18,5,427.9611809,213.9805904,42796.11809,2377.562116,3.376131872,1,Pos,,
690,24,45089,21,No Tide,24,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,15.5,5,1157.207674,578.6038369,115720.7674,7465.85596,3.873079607,1,Pos,,
691,24,45089,21,No Tide,24,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,14.3,5,295.5352018,147.7676009,29553.52018,2066.679733,3.315273181,1,Pos,,
692,24,45089,15,No Tide,25,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,1,19.2,5,216.2496049,108.1248025,21624.96049,1126.300026,3.051654094,1,Pos,,
693,24,45089,15,No Tide,25,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,2,15.8,5,73.23184842,36.61592421,7323.184842,463.4927115,2.666042909,1,Pos,,
694,24,45089,15,No Tide,25,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,3,15.8,5,80.25945302,40.12972651,8025.945302,507.9712217,2.705839109,1,Pos,,
695,24,45089,15,No Tide,25,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,4,22,5,7.012329143,3.506164571,701.2329143,31.87422338,1.503439612,1,Pos,,
696,24,45089,15,No Tide,26,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,1,23.4,5,9.661494616,4.830747308,966.1494616,41.28843853,1.615828459,1,Pos,,
697,24,45089,15,No Tide,26,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,2,11.5,5,29.64691256,14.82345628,2964.691256,257.7992397,2.411281632,1,Pos,,
