Numb,Date_Time,Temp_C
732,8/8/2020 1:00,20.65
733,8/8/2020 2:00,20.674
734,8/8/2020 3:00,20.579
735,8/8/2020 4:00,20.412
736,8/8/2020 5:00,19.865
737,8/8/2020 6:00,19.722
738,8/8/2020 7:00,19.056
739,8/8/2020 8:00,18.604
740,8/8/2020 9:00,18.961
741,8/8/2020 10:00,20.579
742,8/8/2020 11:00,21.557
743,8/8/2020 12:00,21.604
744,8/8/2020 13:00,21.819
745,8/8/2020 14:00,21.748
746,8/8/2020 15:00,21.843
747,8/8/2020 16:00,22.011
748,8/8/2020 17:00,22.082
749,8/8/2020 18:00,23.569
750,8/8/2020 19:00,23.497
751,8/8/2020 20:00,22.345
752,8/8/2020 21:00,22.824
753,8/8/2020 22:00,21.915
754,8/8/2020 23:00,21.819
755,8/9/2020 0:00,21.461
756,8/9/2020 1:00,21.413
757,8/9/2020 2:00,21.509
758,8/9/2020 3:00,21.485
759,8/9/2020 4:00,21.366
760,8/9/2020 5:00,21.223
761,8/9/2020 6:00,20.746
762,8/9/2020 7:00,20.627
763,8/9/2020 8:00,20.126
764,8/9/2020 9:00,20.007
765,8/9/2020 10:00,21.366
766,8/9/2020 11:00,22.776
767,8/9/2020 12:00,22.657
768,8/9/2020 13:00,22.824
769,8/9/2020 14:00,22.992
770,8/9/2020 15:00,22.681
771,8/9/2020 16:00,22.585
772,8/9/2020 17:00,22.657
773,8/9/2020 18:00,23.16
774,8/9/2020 19:00,23.665
775,8/9/2020 20:00,23.28
776,8/9/2020 21:00,23.641
777,8/9/2020 22:00,23.256
778,8/9/2020 23:00,22.92
779,8/10/2020 0:00,22.369
780,8/10/2020 1:00,21.867
781,8/10/2020 2:00,21.939
782,8/10/2020 3:00,21.843
783,8/10/2020 4:00,21.557
784,8/10/2020 5:00,21.366
785,8/10/2020 6:00,21.366
786,8/10/2020 7:00,20.746
787,8/10/2020 8:00,21.103
788,8/10/2020 9:00,21.318
789,8/10/2020 10:00,21.915
790,8/10/2020 11:00,23.208
791,8/10/2020 12:00,24.122
792,8/10/2020 13:00,23.617
793,8/10/2020 14:00,23.593
794,8/10/2020 15:00,23.376
795,8/10/2020 16:00,23.328
796,8/10/2020 17:00,23.208
797,8/10/2020 18:00,23.521
798,8/10/2020 19:00,24.315
799,8/10/2020 20:00,24.774
800,8/10/2020 21:00,24.653
801,8/10/2020 22:00,24.653
802,8/10/2020 23:00,25.113
803,8/11/2020 0:00,24.726
804,8/11/2020 1:00,24.098
805,8/11/2020 2:00,23.304
806,8/11/2020 3:00,23.448
807,8/11/2020 4:00,23.28
808,8/11/2020 5:00,22.8
809,8/11/2020 6:00,22.441
810,8/11/2020 7:00,22.465
811,8/11/2020 8:00,22.513
812,8/11/2020 9:00,22.393
813,8/11/2020 10:00,22.465
814,8/11/2020 11:00,22.393
815,8/11/2020 12:00,22.8
816,8/11/2020 13:00,22.729
817,8/11/2020 14:00,22.8
818,8/11/2020 15:00,22.705
819,8/11/2020 16:00,22.609
